
================================================================================
Monitoring Started: 2025-10-11 21:11:21
================================================================================
2025-10-11 21:11:21 | CPU: 10.7% | Freq: 3187MHz | Load: 0.00/0.00/0.00 | MEM: 88.3% | Used: 6.88GB | Avail: 932.96MB | Total: 7.79GB | SWAP: 20.0% | Per-Core: [9.1%, 4.7%, 12.5%, 14.1%, 14.1%, 6.2%, 3.1%, 11.1%]
2025-10-11 21:11:28 | CPU: 14.2% | Freq: 3187MHz | Load: 0.00/0.00/0.00 | MEM: 89.5% | Used: 6.97GB | Avail: 837.03MB | Total: 7.79GB | SWAP: 20.6% | Per-Core: [24.2%, 10.9%, 14.1%, 21.9%, 32.8%, 10.9%, 18.8%, 23.4%]
2025-10-11 21:11:35 | CPU: 8.9% | Freq: 3187MHz | Load: 0.00/0.00/0.00 | MEM: 91.3% | Used: 7.11GB | Avail: 690.22MB | Total: 7.79GB | SWAP: 20.3% | Per-Core: [0.0%, 0.0%, 3.1%, 1.6%, 18.5%, 1.6%, 0.0%, 1.6%]
2025-10-11 21:11:42 | CPU: 54.4% | Freq: 3187MHz | Load: 0.00/0.00/0.00 | MEM: 92.9% | Used: 7.24GB | Avail: 562.55MB | Total: 7.79GB | SWAP: 20.1% | Per-Core: [69.4%, 66.2%, 70.8%, 70.3%, 74.6%, 72.3%, 73.4%, 68.8%]
2025-10-11 21:11:49 | CPU: 9.1% | Freq: 3187MHz | Load: 0.00/0.00/0.00 | MEM: 93.9% | Used: 7.32GB | Avail: 483.36MB | Total: 7.79GB | SWAP: 19.8% | Per-Core: [52.9%, 33.3%, 63.6%, 36.9%, 50.0%, 35.9%, 37.5%, 42.2%]
2025-10-11 21:11:56 | CPU: 13.0% | Freq: 3187MHz | Load: 0.00/0.00/0.00 | MEM: 89.8% | Used: 6.99GB | Avail: 812.72MB | Total: 7.79GB | SWAP: 20.6% | Per-Core: [26.9%, 12.5%, 46.9%, 21.9%, 36.9%, 7.8%, 42.2%, 10.9%]
2025-10-11 21:12:03 | CPU: 25.0% | Freq: 3187MHz | Load: 0.72/0.15/0.05 | MEM: 91.6% | Used: 7.14GB | Avail: 665.98MB | Total: 7.79GB | SWAP: 21.1% | Per-Core: [34.8%, 12.1%, 24.6%, 18.8%, 33.3%, 10.9%, 23.4%, 20.3%]
2025-10-11 21:12:10 | CPU: 11.9% | Freq: 3187MHz | Load: 0.66/0.15/0.05 | MEM: 91.0% | Used: 7.09GB | Avail: 718.94MB | Total: 7.79GB | SWAP: 20.7% | Per-Core: [52.2%, 23.1%, 36.4%, 30.8%, 61.5%, 29.7%, 50.0%, 25.0%]
2025-10-11 21:12:17 | CPU: 8.7% | Freq: 3187MHz | Load: 0.56/0.14/0.05 | MEM: 91.8% | Used: 7.15GB | Avail: 653.07MB | Total: 7.79GB | SWAP: 20.6% | Per-Core: [13.2%, 0.0%, 1.6%, 12.5%, 12.3%, 1.6%, 0.0%, 3.1%]
2025-10-11 21:12:24 | CPU: 7.4% | Freq: 3187MHz | Load: 0.52/0.14/0.05 | MEM: 92.1% | Used: 7.17GB | Avail: 628.72MB | Total: 7.79GB | SWAP: 20.5% | Per-Core: [18.8%, 1.6%, 1.6%, 15.4%, 16.9%, 3.1%, 4.7%, 3.1%]
2025-10-11 21:12:31 | CPU: 15.9% | Freq: 3187MHz | Load: 0.47/0.14/0.05 | MEM: 92.9% | Used: 7.24GB | Avail: 563.08MB | Total: 7.79GB | SWAP: 20.1% | Per-Core: [15.2%, 4.8%, 10.9%, 21.2%, 15.6%, 9.2%, 13.8%, 6.2%]
